review_id,app_id,author,rating,content,timestamp,thumbs_up,app_version,reply_content,reply_timestamp,scraped_at
282e91c9-3247-49e5-bc92-21a20af9da66,com.whatsapp,Manasi Redij,5,nice app,2026-01-28T15:47:37,0,2.26.2.72,,,2026-01-29T15:47:43.430421
3c306172-999a-470b-9d18-2a546672b396,com.whatsapp,Alvin,5,All good but have noticed many pop up messages to install additional apps etc but I ignore,2026-01-28T15:47:11,0,2.26.2.72,,,2026-01-29T15:47:43.430429
6feba7f6-a9eb-4d6b-94ef-330d8bb661c8,com.whatsapp,Jai Kishan Sharma,4,ok,2026-01-28T15:46:53,0,2.26.2.72,,,2026-01-29T15:47:43.430432
8813676c-09b2-4354-8d45-ad604f7de0ca,com.whatsapp,Rahul Kumar Srivastava (Bare Bhaia),5,nice app easy to use and it helped in my business.,2026-01-28T15:46:51,0,,,,2026-01-29T15:47:43.430433
6869970b-a344-4119-98ba-fad83a26e270,com.whatsapp,ISAAC UCHE,4,nice 👍 services,2026-01-28T15:44:56,0,2.26.2.72,,,2026-01-29T15:47:43.430435
4da07802-8fa8-4b41-a943-ae1dc02d3964,com.whatsapp,Hamisi Ngwaya,5,yeah,2026-01-28T15:44:23,0,,,,2026-01-29T15:47:43.430436
1577f636-4c5f-4c9f-9429-7cd57b799987,com.whatsapp,Devendra Mehra,5,very nice 👍🙂,2026-01-28T15:44:11,0,2.26.1.76,,,2026-01-29T15:47:43.430438
449a36fd-1a1d-447b-b335-96a0e088701f,com.whatsapp,Bharti Joshi,4,Nice,2026-01-28T15:43:45,1,2.25.31.76,,,2026-01-29T15:47:43.430439
6eabee13-baef-44b6-b4c1-334aef1f251d,com.whatsapp,Selvam Kumar,5,Good,2026-01-28T15:43:16,0,2.25.34.74,,,2026-01-29T15:47:43.430440
45ec1dd0-2dde-4a0f-a362-48d56b93bb42,com.whatsapp,Md Rony,5,good,2026-01-28T15:42:10,0,2.26.2.72,,,2026-01-29T15:47:43.430441
b4ceb727-88d2-469a-aba8-513c00662415,com.whatsapp,Ramamafuta,5,best messaging app,2026-01-28T15:42:09,0,2.26.2.72,,,2026-01-29T15:47:43.430442
af06dcec-b1c8-448c-8e42-b1f9a9a6c2a4,com.whatsapp,Zeeshan Rasool,5,I'm sure it was ok and enjoy the cheinal. am to much like it am very happy for a while and enjoy the life.,2026-01-28T15:41:39,0,2.26.1.76,,,2026-01-29T15:47:43.430443
cd5cd06e-04f4-4e24-8d4b-b040908dc7e2,com.whatsapp,Javed Gour,1,Mera whatsapp chal nhi rh hai,2026-01-28T15:40:49,0,,,,2026-01-29T15:47:43.430445
1d41fb2c-57c1-45a2-9b34-dc67e71ea9fb,com.whatsapp,Mujahid Abbas,5,Excellent,2026-01-28T15:39:21,0,2.25.37.76,,,2026-01-29T15:47:43.430446
7c546451-089f-49a3-9b5d-08b67e028866,com.whatsapp,Millicent Frimpong,5,good,2026-01-28T15:39:16,0,2.26.2.72,,,2026-01-29T15:47:43.430447
67a5158a-8ff8-4067-a8e3-6202aa29cbb1,com.whatsapp,amarjeet Poddar,4,I am not getting message notification by sound. Only Pop is displaying on top,2026-01-28T15:37:16,0,2.26.2.72,,,2026-01-29T15:47:43.430448
9d130115-70ab-456e-9492-32826de1ef10,com.whatsapp,Methuku Nithish,5,super app,2026-01-28T15:37:16,0,2.25.37.76,,,2026-01-29T15:47:43.430449
bbf0eb65-6c3c-490b-b4a9-7b363aff5f3e,com.whatsapp,Areyfin Ferdous,3,"in my windows 11 ,Whatsapp desktop app not install, so I start using Whatsapp web, but there is no calling option available there, please enable calling feature in Whatsapp web।",2026-01-28T15:37:15,0,2.25.37.76,,,2026-01-29T15:47:43.430450
bb45d7c8-2579-40c6-861f-4fefd928f965,com.whatsapp,Shiva Kumar,5,nice,2026-01-28T15:36:07,0,2.25.37.76,,,2026-01-29T15:47:43.430451
b403f64e-47e5-4d45-a835-c279a7271dbe,com.whatsapp,Michaela Lakicha,5,ᘜOOᗪ,2026-01-28T15:35:48,0,2.26.2.72,,,2026-01-29T15:47:43.430452
03cc9174-b5dd-4d00-8dfb-b47e6c7783c7,com.whatsapp,MaineeGogoi Kalita,5,good,2026-01-28T15:35:29,0,2.26.2.72,,,2026-01-29T15:47:43.430453
29c23c85-b3f2-4d64-8985-3eb7f4cdf927,com.whatsapp,Savita Trimbakar,1,"WhatsApp isn't opening on my phone. It's not even downloading. I don't know what's going on, why WhatsApp isn't downloading on my phone. It keeps scrolling endlessly.",2026-01-28T15:34:51,16,2.26.3.79,,,2026-01-29T15:47:43.430453
3ea71007-be97-4751-9ab1-99a259075065,com.whatsapp,Humayun Kobir,5,good,2026-01-28T15:34:13,0,2.26.2.72,,,2026-01-29T15:47:43.430454
e6d853bf-3f1d-48b6-ac87-4778551fe582,com.whatsapp,koneti peter,5,good and make easy,2026-01-28T15:32:31,0,2.26.2.72,,,2026-01-29T15:47:43.430455
fb5bb0e9-95ce-4f3e-b477-a43d9b7ccd88,com.whatsapp,Ranjit Tamang,5,wow nice 👍👍👍👍👍👍,2026-01-28T15:32:24,0,2.26.2.72,,,2026-01-29T15:47:43.430456
5647bf2e-e5be-48ca-b300-11c1da90ab46,com.whatsapp,Shivukumar Shivukumar naiyk,4,ok,2026-01-28T15:32:04,0,,,,2026-01-29T15:47:43.430457
e8741b44-a387-4249-be8b-a4efab7d3dec,com.whatsapp,Mariyappan Thiruvalluran,5,good,2026-01-28T15:31:44,0,2.25.37.76,,,2026-01-29T15:47:43.430458
b92fb144-673f-4139-8463-48f2ef264372,com.whatsapp,Sajjad Ali,4,good,2026-01-28T15:31:13,0,2.25.37.76,,,2026-01-29T15:47:43.430459
9792a844-710d-480b-b767-1bbbbd443126,com.whatsapp,mahdis,1,awful,2026-01-28T15:30:43,0,2.26.2.72,,,2026-01-29T15:47:43.430460
842bb45f-ec43-4476-949f-b3e6f40151c3,com.whatsapp,Victory Ogunleye,4,"good but roll out all the status reshare for everyone, I'm not able to activate mine, the option is not there",2026-01-28T15:30:04,0,2.26.2.72,,,2026-01-29T15:47:43.430461
