review_id,app_id,author,rating,content,timestamp,thumbs_up,app_version,reply_content,reply_timestamp,scraped_at
1577f636-4c5f-4c9f-9429-7cd57b799987,com.whatsapp,Devendra Mehra,5,very nice 👍🙂,2026-01-28T15:44:11,0,2.26.1.76,,,2026-01-29T15:46:29.604215
449a36fd-1a1d-447b-b335-96a0e088701f,com.whatsapp,Bharti Joshi,4,Nice,2026-01-28T15:43:45,1,2.25.31.76,,,2026-01-29T15:46:29.604227
6eabee13-baef-44b6-b4c1-334aef1f251d,com.whatsapp,Selvam Kumar,5,Good,2026-01-28T15:43:16,0,2.25.34.74,,,2026-01-29T15:46:29.604229
45ec1dd0-2dde-4a0f-a362-48d56b93bb42,com.whatsapp,Md Rony,5,good,2026-01-28T15:42:10,0,2.26.2.72,,,2026-01-29T15:46:29.604231
b4ceb727-88d2-469a-aba8-513c00662415,com.whatsapp,Ramamafuta,5,best messaging app,2026-01-28T15:42:09,0,2.26.2.72,,,2026-01-29T15:46:29.604232
af06dcec-b1c8-448c-8e42-b1f9a9a6c2a4,com.whatsapp,Zeeshan Rasool,5,I'm sure it was ok and enjoy the cheinal. am to much like it am very happy for a while and enjoy the life.,2026-01-28T15:41:39,0,2.26.1.76,,,2026-01-29T15:46:29.604234
cd5cd06e-04f4-4e24-8d4b-b040908dc7e2,com.whatsapp,Javed Gour,1,Mera whatsapp chal nhi rh hai,2026-01-28T15:40:49,0,,,,2026-01-29T15:46:29.604235
1d41fb2c-57c1-45a2-9b34-dc67e71ea9fb,com.whatsapp,Mujahid Abbas,5,Excellent,2026-01-28T15:39:21,0,2.25.37.76,,,2026-01-29T15:46:29.604236
7c546451-089f-49a3-9b5d-08b67e028866,com.whatsapp,Millicent Frimpong,5,good,2026-01-28T15:39:16,0,2.26.2.72,,,2026-01-29T15:46:29.604237
67a5158a-8ff8-4067-a8e3-6202aa29cbb1,com.whatsapp,amarjeet Poddar,4,I am not getting message notification by sound. Only Pop is displaying on top,2026-01-28T15:37:16,0,2.26.2.72,,,2026-01-29T15:46:29.604238
9d130115-70ab-456e-9492-32826de1ef10,com.whatsapp,Methuku Nithish,5,super app,2026-01-28T15:37:16,0,2.25.37.76,,,2026-01-29T15:46:29.604239
bbf0eb65-6c3c-490b-b4a9-7b363aff5f3e,com.whatsapp,Areyfin Ferdous,3,"in my windows 11 ,Whatsapp desktop app not install, so I start using Whatsapp web, but there is no calling option available there, please enable calling feature in Whatsapp web।",2026-01-28T15:37:15,0,2.25.37.76,,,2026-01-29T15:46:29.604241
bb45d7c8-2579-40c6-861f-4fefd928f965,com.whatsapp,Shiva Kumar,5,nice,2026-01-28T15:36:07,0,2.25.37.76,,,2026-01-29T15:46:29.604242
